Pair,p-value
MTD-TMO,1.5901733946889923e-05
TPL-ETN,1.5948534037837034e-05
EPAM-TECH,1.6084541909658474e-05
LNT-HON,1.636162938281937e-05
CTAS-TPL,1.6416605801322562e-05
AFL-RJF,1.7189294827485167e-05
EFX-DPZ,1.7350589316865494e-05
COST-TPL,1.82499094215307e-05
MLM-ERIE,1.8499542998515316e-05
PWR-JBL,1.875132590435013e-05
AJG-KLAC,1.9408709194840882e-05
CCI-ES,1.9549936124629608e-05
ABBV-RJF,1.9748859135143166e-05
CTAS-PGR,2.0775402200928544e-05
EQIX-TYL,2.103542815646774e-05
DECK-BLDR,2.123817599125e-05
WSM-PGR,2.134301222556671e-05
ROL-SYK,2.1418291192794755e-05
LII-ERIE,2.1636319699066473e-05
MO-FOX,2.214639023596296e-05
AJG-AMP,2.221652919525752e-05
STE-ACN,2.2341165831471678e-05
MCHP-WST,2.2418989597105393e-05
DXCM-TER,2.2536440376093277e-05
PH-TPL,2.257808837373557e-05
EW-AWK,2.2738536392590865e-05
PSA-HSIC,2.2739067142570184e-05
ORLY-APH,2.3140104910523918e-05
DXCM-POOL,2.3317649086506783e-05
COO-IEX,2.374872839461955e-05
WAT-HON,2.4288950982847766e-05
MSCI-EXPD,2.4628872300891115e-05
ERIE-TJX,2.4691333019846414e-05
HUBB-PGR,2.5053927168200755e-05
ETN-KLAC,2.50753852534742e-05
TT-TPL,2.5115086011467574e-05
MAR-ROL,2.5502914313675465e-05
EQIX-ROST,2.6346420596242284e-05
CSGP-TDY,2.721674966107001e-05
EFX-LOW,2.7421178671092685e-05
DPZ-TXN,2.7657992167480985e-05
ORCL-TPL,2.7772059652503492e-05
WMT-ORCL,2.861316019575339e-05
WAT-FDS,2.9076731156440647e-05
BRK.B-AMP,3.000582248982834e-05
CTAS-KLAC,3.047213865942355e-05
KMB-HSIC,3.097681006347414e-05
HD-EQIX,3.115421288407079e-05
ICE-MU,3.118462355036022e-05
TPL-LRCX,3.180098317955381e-05
DHI-MPWR,3.230790853195614e-05
WTW-BR,3.252789055781133e-05
PAYX-WTW,3.292369382642805e-05
PEG-LYV,3.3095312637498607e-05
ADSK-DPZ,3.341175202694142e-05
MNST-ROK,3.357279827415524e-05
EQIX-MTD,3.368684831736911e-05
WTW-ROL,3.3803320190388365e-05
ORCL-APH,3.488348259050312e-05
GOOGL-NVR,3.497715062324358e-05
MSFT-TPL,3.529830393874598e-05
EW-TER,3.5765302903926165e-05
HD-RMD,3.619288251510181e-05
GOOGL-WM,3.630683037615898e-05
CDNS-MPWR,3.709493186546368e-05
EQIX-LNT,3.737810660085865e-05
ROST-AMGN,3.756765715294185e-05
CPRT-NVR,3.760139907559084e-05
EFX-WAT,3.7797563941102486e-05
PAYX-ADI,3.8491892605241946e-05
WAT-UNP,3.983924548752723e-05
CHTR-KMX,4.0516867768392506e-05
SMCI-PHM,4.0652198100101694e-05
ORCL-PGR,4.1628086900416843e-05
BRO-LRCX,4.2385971189187036e-05
BRK.B-NVR,4.295908353427982e-05
AMZN-SPGI,4.3300951253836344e-05
CMG-MPWR,4.36606384350264e-05
WST-MOH,4.412193809148708e-05
AAPL-ERIE,4.486713877317836e-05
PGR-SNPS,4.531313527202814e-05
AJG-RJF,4.5866314102655084e-05
TDY-STE,4.629236700131516e-05
LMT-EQIX,4.776268455710039e-05
TEL-LH,4.883722071241378e-05
HD-STE,4.8886135899864495e-05
GPN-MKTX,4.905724437341012e-05
PGR-LRCX,4.925722771592067e-05
EMR-FAST,4.926001995912042e-05
CPRT-AMAT,4.97610288660788e-05
CDNS-TPL,5.023403284414857e-05
COST-PGR,5.17962076459102e-05
APD-NEE,5.2643592852524265e-05
BRO-NVR,5.2697659891234586e-05
CMG-ERIE,5.2735133425028766e-05
MCHP-TMO,5.2836916920644216e-05
URI-ETN,5.4371120496783367e-05
AMZN-ROL,5.44227126468132e-05
PNC-AEP,5.470151953919576e-05
CSX-LHX,5.510120563070222e-05
EQIX-DPZ,5.564032736061375e-05
SO-EMR,5.725012713212843e-05
CTAS-URI,5.759705659831779e-05
STE-LOW,5.790818210767074e-05
MAR-NVR,5.809016411330925e-05
BR-MU,5.81331628155082e-05
HCA-ADI,5.8755783768490344e-05
COST-URI,5.901477878756432e-05
ERIE-ISRG,6.010997641342571e-05
GOOGL-SHW,6.122522554052836e-05
EFX-TYL,6.139573393723372e-05
MCHP-MOH,6.149508877413498e-05
MAR-ALL,6.149869387000252e-05
MPWR-TPL,6.173884939233037e-05
MA-ROL,6.303062561548208e-05
AFL-HUBB,6.364733064677603e-05
V-VRSK,6.37227194880886e-05
NSC-WAT,6.388077221976692e-05
EQIX-CSX,6.442861406633953e-05
MCHP-DHR,6.46365002045036e-05
IEX-NEE,6.50477360226079e-05
EFX-AMGN,6.519013303006925e-05
AJG-LRCX,6.54152526982309e-05
RJF-ROL,6.583078188534481e-05
AZO-HUBB,6.689577987747579e-05
AFL-MLM,6.736010059110977e-05
EQIX-IEX,6.762809658115063e-05
TPL-AMAT,6.797322351880341e-05
GOOGL-GOOG,6.852373723874064e-05
SOLV-ADP,6.894561352669082e-05
AAPL-CPRT,7.094611555378366e-05
WST-ADBE,7.120516154064273e-05
SMCI-BLDR,7.205300919787127e-05
CDNS-PGR,7.34934155129011e-05
SNA-CB,7.396101541510094e-05
NTAP-ISRG,7.521091637958381e-05
NXPI-EFX,7.547359739262858e-05
AMZN-WTW,7.618151269897467e-05
LHX-DPZ,7.751792087995918e-05
PKG-CB,7.75540113401356e-05
HD-CINF,7.829562811127201e-05
GOOGL-MMC,7.872276087731399e-05
NVR-VRTX,7.87832688031706e-05
V-ICE,7.95117397064896e-05
HUBB-VRTX,8.089799599635011e-05
AON-LOW,8.144763220053161e-05
ERIE-APH,8.151448862232993e-05
CSGP-STE,8.165427148516771e-05
DHI-AMAT,8.16717234735702e-05
NTAP-MU,8.21550797615622e-05
MTD-STE,8.23017196485874e-05
MCHP-A,8.233024831156176e-05
CINF-ADP,8.285993024435224e-05
ISRG-MU,8.289360276065493e-05
ROL-ADP,8.374710366868824e-05
WAT-NEE,8.442118275414721e-05
MMC-ADI,8.497088668171656e-05
LHX-NEE,8.532397075366422e-05
CTAS-HLT,8.869760310344839e-05
AMT-BALL,9.052146352395043e-05
ALL-VMC,9.149260150000647e-05
MTD-NDSN,9.323689318305138e-05
YUM-ROK,9.361619295202024e-05
SHW-EQIX,9.380753499371103e-05
HD-EFX,9.523478484614874e-05
TSLA-DE,9.877280743434892e-05
PAYX-SOLV,9.941393330696464e-05
USB-TSN,9.943519295058552e-05
ADSK-CSGP,9.945615125828756e-05
ODFL-MOH,9.958432600590932e-05
DXCM-TMO,0.00010090702637553273
DHI-PGR,0.00010132421437634387
MA-WTW,0.00010169803504547572
V-RF,0.00010395650063889784
ES-KMX,0.0001042062629601652
GOOGL-BRO,0.00010465529389027744
MCK-URI,0.00010536376923877079
SHW-RMD,0.00010577762529753733
MDLZ-CDW,0.00010599514452803208
AMZN-SHW,0.00010771774386031506
PNR-NWS,0.0001077693758078679
WM-WTW,0.0001079057220632614
MDLZ-AMGN,0.00010854296062788879
DGX-DPZ,0.00010962246735168326
SHW-EFX,0.0001105089374653435
EFX-AIZ,0.00011062672531389436
LHX-WAT,0.00011103671213060602
EQIX-LHX,0.00011137619023827214
ROK-GL,0.00011245510115177591
DHI-SNPS,0.00011246023465548424
PNC-WAT,0.00011256652553182293
ERIE-SYK,0.00011274284764348843
WTW-CINF,0.00011293479271950115
USB-IFF,0.00011306047894369726
EXR-WAT,0.00011322377980058124
RSG-TPL,0.00011326469234908363
USB-ESS,0.00011442513530427637
CI-EFX,0.00011471203564588286
AME-ROL,0.00011546501413935015
A-MTD,0.00011564771304150434
CDNS-CTAS,0.00011568061918755296
TPL-KKR,0.00011615931341452428
LNT-GL,0.00011644783488577974
ICE-BR,0.00011700005937566053
AAPL-LRCX,0.00011844015997429824
EFX-PKG,0.00011870719145158558
AJG-TPL,0.0001194339745394327
BRO-TPL,0.00011962028366503601
SBAC-MKC,0.00011975435223807186
SMCI-DECK,0.00012044761995457775
HCA-RJF,0.00012058082131417374
EQIX-ADSK,0.00012172527294255661
HD-AON,0.00012219655670167706
COR-HUBB,0.00012295578090540228
RJF-VRTX,0.00012310409661745275
ROL-NVR,0.0001237083036380596
PAYX-CINF,0.0001242068034698233
EQIX-XEL,0.0001242324836158822
ITW-ROP,0.00012477466226283737
EQIX-WEC,0.0001248506506217244
HIG-ANET,0.00012706314461770148
EQIX-STE,0.00012782894458712726
MNST-EFX,0.00012810849454916978
SO-PCAR,0.00012983752891817458
MCHP-MTD,0.00012989482475134036
COST-CTAS,0.00013002916859557062
A-STE,0.00013048019226603573
APO-KLAC,0.00013065755967566292
EPAM-CRL,0.00013197270189626418
ORLY-HUBB,0.00013246253461840767
DHI-TPL,0.0001329747099114167
AIZ-MU,0.00013369246735872836
MAR-TJX,0.00013443378848349783
ELV-MCHP,0.00013555603993302228
MCHP-WAT,0.00013567543839401955
WDAY-UNP,0.0001358601761628293
YUM-OTIS,0.00014025232104484538
SHW-VRSK,0.00014051876040820037
USB-HAS,0.0001405327475039218
EFX-CHD,0.00014157310986951123
ECL-ROST,0.00014248745843232905
PNC-LNT,0.00014400734728183052
BRO-ERIE,0.00014418526803267458
ED-ULTA,0.0001442172465598665
OKE-HPE,0.00014433108735118622
RSG-URI,0.00014519907549603655
TRV-SNA,0.0001454888245592211
ERIE-ADI,0.00014886243517339787
APO-PHM,0.0001489977619279725
AMZN-ADSK,0.00014947876010631606
RJF-BRO,0.00015021192776197174
ALL-CINF,0.00015066698177315703
TPL-ISRG,0.0001515592260708157
RSG-HUBB,0.00015244626395696304
EFX-DOV,0.00015295879541085632
PNC-CINF,0.00015362855933879308
HD-WAT,0.00015471498415165974
KDP-NEE,0.00015600129897613236
EQIX-TDY,0.0001562937749261976
NDAQ-LYV,0.0001566446585790722
NOC-CI,0.00015719901237739345
PH-WSM,0.00015756499852553402
WTW-TYL,0.00015826483046344365
GOOG-MPWR,0.0001589278810178863
GOOG-SHW,0.00016041501720720193
BRO-HUBB,0.00016270506449746143
RSG-ETN,0.0001631474974036884
JNJ-DTE,0.00016358157779780807
SHW-AON,0.00016446404790979223
MTD-ACN,0.00016457896308620567
BRK.B-EMR,0.00016481837110442302
EQIX-NEE,0.00016579229478315668
A-TMO,0.0001660715981308431
DLTR-GPC,0.00016628044829059243
AZO-RJF,0.00017045699179471258
TSLA-QCOM,0.00017120829517366842
WST-TMO,0.00017225924664238985
TROW-CZR,0.00017357509985281753
TER-CRL,0.00017608222269662526
MSFT-CPRT,0.00017680008176201696
FDS-NDSN,0.0001785884767100829
MCHP-ACN,0.00017916071740841808
APD-LHX,0.0001795622479931121
GOOGL-HCA,0.00018038350849311133
WSM-KLAC,0.0001810187585363346
MLM-VRTX,0.00018153071239420784
PH-RSG,0.00018370653289346875
A-ACN,0.00018414330011868265
WRB-VRTX,0.00018425927531748987
AJG-GWW,0.00018466933822898458
MPWR-WRB,0.00018578442490186606
WEC-GL,0.00018618434307874615
SHW-ROP,0.00018749270498269837
TT-PH,0.0001880749561396195
SYY-DPZ,0.0001897827989280545
GOOGL-ERIE,0.00018988612403790568
USB-UDR,0.00019002329737359292
RSG-WRB,0.00019031998771699117
RSG-AFL,0.00019084917590086125
PPG-CMCSA,0.0001939861286308533
EQIX-MCHP,0.00019416898162499414
UPS-ALB,0.00019657945079565723
APD-ROK,0.00019732973242974735
SBUX-MKC,0.00019812197204375847
CSX-DPZ,0.00019885177900570193
PNC-LHX,0.00020000195505558095
MCHP-NDSN,0.00020212767091911833
HD-ROP,0.00020250942978230398
FICO-PGR,0.0002033980142902724
DTE-HON,0.00020534292332195035
V-BR,0.00020539062585711284
MCK-ETN,0.00020567202732275222
TECH-CRL,0.00020984686323153982
ICE-PEG,0.0002122594628360636
TT-APO,0.00021449038369893803
LMT-APD,0.0002151739472068352
META-LII,0.00021519157301305616
V-PEG,0.00021536383016423872
SBUX-COO,0.00021594773427860957
MAR-WRB,0.0002159855739140938
AON-EFX,0.0002163676061829428
DXCM-EXPD,0.00021691867096567
MPWR-RJF,0.00021763538765314525
APD-WAT,0.00021816425995073083
DXCM-DHR,0.00021829523118773115
SBUX-WEC,0.0002183109262504793
EFX-FDS,0.00022122587645620633
STE-WAT,0.00022200057058427918
MCHP-IEX,0.0002225661607297538
ADP-ADI,0.00022322561253689983
TYL-DPZ,0.00022349026979922004
GOOGL-FAST,0.00022558472528197708
PKG-AMGN,0.00022836005169630733
ROK-ROL,0.0002289235201247352
WAT-LOW,0.0002289963652037475
NDAQ-WRB,0.00022929099319384956
NOC-ATO,0.000230582651747482
DXCM-ADBE,0.0002314564599752293
PNC-DTE,0.00023178898657348827
MSFT-PGR,0.00023400064871137568
STE-FDS,0.00023482783620353107
PEG-AIZ,0.0002356689182205816
HD-AIZ,0.0002361390802030172
NVR-SYK,0.00023627573992709202
EQIX-NSC,0.00023654625184506942
ERIE-SNPS,0.000237115074283494
AFL-PANW,0.00023726500241778392
A-POOL,0.00023901269851490275
KMX-NKE,0.0002404138352209943
MPWR-PGR,0.0002405910991292944
CMI-DVA,0.000245491407227926
TMO-ACN,0.0002471851361146461
EXPD-HOLX,0.0002500500094291621
AFL-DECK,0.00025100674168385785
BRK.B-ERIE,0.00025246363825602927
A-TER,0.00025258885814315293
SHW-SPGI,0.0002544302092956613
V-ROL,0.0002567970702319311
CINF-TYL,0.00025717515065178126
DHI-ERIE,0.000258063841893132
WM-RJF,0.00025925862199397385
CHD-WAT,0.0002603691704741841
ICE-ROL,0.0002625340893783172
MKC-BALL,0.000263154816363315
MTD-NEE,0.00026538348300921656
SHW-STE,0.0002659127010883954
ITW-AMGN,0.0002660176760752531
POOL-TECH,0.0002682500605417863
TRV-PKG,0.00026859270558150734
VMC-ERIE,0.0002691690229720968
LRCX-SNPS,0.00027020206477929633
HON-UNP,0.00027252362663680055
AMP-MPWR,0.000272541895680535
COR-RJF,0.0002743926437713498
EQIX-AME,0.00027481524352883423
EFX-HON,0.00027516574585571493
GOOGL-MLM,0.0002763934489688831
AMZN-ERIE,0.0002780593704891064
VRSN-TDY,0.0002789572452659217
JNJ-LNT,0.00028032766746244255
PANW-KLAC,0.0002832233138701718
PNC-DPZ,0.00028359659619351096
AEP-CINF,0.0002838065528132355
BRK.B-MPWR,0.00028520623144018693
EQIX-TXN,0.00028877408700729264
ROL-DRI,0.00029132870284432857
AAPL-DE,0.0002915872138076185
DHI-MLM,0.00029324637033023034
HD-TXN,0.00029616995802806296
AEP-LHX,0.00029644003795267657
ACGL-ERIE,0.00029878945351362123
AKAM-CRL,0.00029937725994579853
ROK-DPZ,0.0002994835804888324
NSC-KDP,0.00030302885534300817
BRO-ETN,0.0003034264744870505
PH-APH,0.000304119607928281
EW-NEE,0.00030540895424078444
MOH-DHR,0.00030610800235115234
AON-PAYX,0.00030650381433518936
MPWR-MU,0.00030920483102638273
WM-MPWR,0.00030924489276915084
GOOGL-MCO,0.00031301772044340444
ROK-WAT,0.0003136788814103683
ERIE-BKNG,0.00031436520737660714
EMR-CMI,0.00031639061991669203
MLM-NVR,0.0003175274800369059
MSFT-AJG,0.00031961866546017327
STE-DPZ,0.0003197497853210162
CL-EXPE,0.00032006059247338805
WSM-TPL,0.0003222081732778271
ZBRA-CRL,0.00032226224399971347
ITW-ROL,0.000322315798155042
AMZN-TYL,0.0003223983401446715
TJX-VRTX,0.00032244110836258705
VICI-DE,0.00032329756023931637
MLM-BRO,0.0003253900164934063
MNST-AMGN,0.00032646744227786547
WM-PTC,0.00032728358501896745
LMT-GL,0.0003274190222347355
CPRT-VRTX,0.0003299723758172348
WTW-ERIE,0.0003310677688226438
SMCI-ETN,0.0003317676444978237
ADP-VRTX,0.0003321848628527419
DGX-AIZ,0.00033238104410182964
INCY-CAG,0.0003348344070146165
VMC-IR,0.0003353239716254765
COST-ERIE,0.00033560987098588964
MNST-GL,0.00033594417324705843
MPWR-NVR,0.0003360845643162967
ICE-SYK,0.00033671458799592024
ESS-HSIC,0.00033704132431040194
V-WTW,0.0003392979348389057
MKC-NKE,0.0003398432904827762
LMT-IEX,0.00034050461742011644
PCAR-MPWR,0.00034402789557007747
DECK-VRTX,0.00034546125032230426
FICO-JBL,0.00034938910410033846
SO-FTNT,0.0003501688539018872
PG-EFX,0.00035285505298923427
AXON-WSM,0.000353735856646752
EMR-WRB,0.00035416697838298525
APD-STE,0.00035598135086163207
CL-UHS,0.0003561147134857583
IRM-WSM,0.0003577977115313378
EQIX-HOLX,0.00035780085930501784
SO-CMI,0.0003598069309205253
ERIE-AMAT,0.0003606590772177751
ROP-ROK,0.00036209379244413285
SJM-HSIC,0.00036223098233216863
APD-ADSK,0.00036235400886194477
TDG-PGR,0.0003630593561311859
PLD-KDP,0.000369363413311692
BRK.B-ISRG,0.000370483363099656
CLX-KMX,0.0003722408162759109
APD-EFX,0.0003740691759909662
ITW-WAT,0.00037766315969404567
AMZN-ICE,0.00037911544099878287
AEP-HON,0.00038199379954665763
KMX-CMCSA,0.00038378373552937835
APD-NSC,0.0003839701336948693
MAR-ACGL,0.00038410510262915716
PG-QCOM,0.0003852587959431054
COST-ETN,0.00038879462979524864
CHD-NDSN,0.0003903582732221578
FICO-HUBB,0.0003920099095540497
PG-FDS,0.000393233534850894
RSG-HLT,0.00039329416805524526
HD-TDY,0.00039518663175497094
MCO-VRSK,0.00039669141193815217
KMB-CMCSA,0.00039674831260719506
COST-WSM,0.00039738176328269414
URI-FICO,0.00039741886679796605
PLD-IQV,0.00040130849703216246
TEL-BLK,0.0004021967737303699
NSC-WEC,0.0004023480418872994
WTW-ISRG,0.0004032504462200383
CI-WAT,0.0004043042415204925
CI-AMGN,0.00040493846535124813
PCAR-ERIE,0.00040806974846448283
MCO-ERIE,0.0004082884249093151
APD-CHD,0.00040945913131924767
MTD-FDS,0.00040953114832750645
EQIX-CSGP,0.000410063798994377
ELV-WST,0.00041036232997864266
CINF-SPGI,0.00041082470017295717
TPL-TKO,0.0004110828978895267
A-DHR,0.0004152101254733941
PG-ROK,0.00041565753935001755
NVR-ISRG,0.00041660782582467084
DUK-PNC,0.0004167263474387528
AMGN-HON,0.0004174788906813849
ROP-MNST,0.000420436646795037
COST-PH,0.00042455262127581364
AIZ-SCHW,0.0004265520636722564
GOOGL-DHI,0.00042662305669116164
AFL-WRB,0.0004272384554565554
CI-PKG,0.0004288341985852383
RSG-ERIE,0.0004290618966652299
AMT-XEL,0.0004290957423572224
ED-SNA,0.0004334495222221111
RSG-NVR,0.0004344051875162593
ORLY-PANW,0.00043856107826080606
CI-MNST,0.00043868029272180854
FICO-SNPS,0.0004392012197087533
JKHY-AMGN,0.0004421809462525892
EXPD-DGX,0.0004426809654019399
CI-ITW,0.000444379153888831
WAT-DPZ,0.0004446366631271894
MAR-TRV,0.00044721642189784577
EFX-SNA,0.00044973515642871107
GOOG-FAST,0.00045040425466349375
KMX-CZR,0.000452330429382587
PTC-PKG,0.0004524585082572534
MTD-WAT,0.00045570096158901557
BRO-ISRG,0.00045650115769154266
COST-HLT,0.00045894037795114176
LNT-JKHY,0.0004590959996295137
MCHP-ADBE,0.0004608375079827796
IDXX-STE,0.0004638407953426899
DHI-STLD,0.0004641781219336482
UPS-HUM,0.0004660773753473918
APD-WEC,0.00046906528651541264
MAR-WTW,0.0004691509473466509
RMD-LOW,0.0004718592047010385
BR-DGX,0.0004728261335394138
RSG-MAR,0.00047470829823267484
CTAS-WSM,0.000478778800763248
FICO-LRCX,0.00047906455594152087
WAT-IEX,0.00047984729604054775
TT-ETN,0.0004824968435236665
HCA-LRCX,0.00048339608940769704
POOL-DHR,0.0004840582896985674
CI-FDS,0.00048527342147777725
TER-AVY,0.0004858576793656739
BRK.B-TJX,0.00048596148168440366
LHX-LNT,0.0004887453009282917
MDLZ-EFX,0.0004895047898742312
HUM-IEX,0.0004906627378265952
PG-APD,0.0004906959885815752
WTW-NVR,0.0004919195573375794
EQIX-SYY,0.000492095992624263
EQIX-AEP,0.0004925180939210617
EQIX-VRSN,0.0004946586480863335
ADSK-WTW,0.0004980786021258709
CMG-PCAR,0.0004987825854469279
EQIX-NTAP,0.0005008152980692944
SO-APO,0.0005037185271818457
MCHP-STE,0.0005051634759837951
PG-NDSN,0.0005077536021016047
CME-PEG,0.0005079957651996741
EQIX-GL,0.0005104104434647638
PH-APO,0.0005110627855799908
PTC-ERIE,0.0005119622486223498
COST-HUBB,0.000513570026044692
RSG-MPWR,0.0005139302361426731
QCOM-DE,0.0005166100522340087
O-SJM,0.000517026492491833
NOC-AMGN,0.0005173382864100054
HCA-MU,0.0005191050481728466
ROST-YUM,0.0005209696288396756
MCHP-FDS,0.0005215619456936806
HD-WTW,0.0005240187579147861
ROK-LH,0.0005267550931666368
IEX-JKHY,0.0005293163946530645
APD-JKHY,0.0005298283959241992
NOC-ULTA,0.0005321974525129762
ADSK-TTWO,0.0005326329809295215
ROP-EFX,0.0005332485175721449
SYY-JKHY,0.000534561090480443
RJF-PGR,0.0005372298894999814
AON-DOV,0.0005386704654589681
PG-AME,0.0005411290915770549
HSY-GPC,0.0005411534998829531
EW-SYY,0.0005414921339457431
ED-ATO,0.0005427042693604229
PH-AJG,0.0005438768893294111
OKE-ED,0.0005487739300265749
PFG-TXT,0.0005541668263101224
DPZ-HON,0.0005555155856426257
