pair,entry_date,exit_date,days_held,exit_reason,pnl,pnlcomm,size_s1,entry_price_s1,exit_price_s1,size_s2,entry_price_s2,exit_price_s2
CEG-ADSK,2024-09-20,2024-10-29,39,Z-Score Reversion,1022.882503493187,841.4866189839167,-202.6499906122123,254.98,265.0,136.49688911164742,267.29,289.66
ABBV-CB,2024-10-17,2024-10-30,13,Z-Score Reversion,6848.03180747584,6635.037216631269,271.1123536034836,188.57,201.5,-183.1533739935781,301.89,283.64
ALGN-CZR,2024-10-03,2024-11-01,29,Z-Score Reversion,122.15723806190363,-85.02985793024243,214.67409373283087,236.97,208.58,-1342.7116110447002,43.85,39.22
CEG-APH,2024-09-25,2024-11-01,37,Z-Score Reversion,2335.8672546290545,2159.057714605276,-195.7877297980156,262.86,258.1,561.5670643162031,65.36,67.86
CEG-APA,2024-09-25,2024-11-04,40,Z-Score Reversion,6372.895998168093,6237.3210596952,-195.7877297980156,262.86,225.95,828.7661249287938,24.57,23.54
ABBV-CI,2024-10-30,2024-11-11,12,Z-Score Reversion,10968.139086711984,10784.277784997243,-256.8226671163371,201.5,174.43,133.11068902461838,312.89,343.06
DXCM-LULU,2024-07-31,2024-11-18,110,Z-Score Reversion,-4628.639306917445,-4856.151014943013,737.2456502506636,67.82,76.27,-213.45321508817696,258.66,309.53
APO-WSM,2024-10-09,2024-11-20,42,Z-Score Reversion,299.59106430588145,84.72271777912356,-376.03829534094285,138.02,162.89,318.1167920051128,144.7,175.04
COST-PANW,2024-10-11,2024-11-22,42,Z-Score Reversion,2933.0698993037367,2719.2508464794164,58.123450357796735,889.03,964.01,-280.5170095519418,186.6,191.68
CEG-GEV,2024-11-05,2024-11-26,21,Z-Score Reversion,1862.7224334681232,1597.0312981608868,222.00943193507842,233.75,266.73,-236.12234566396052,315.77,338.89
GOOG-BX,2024-11-21,2024-12-09,18,Z-Score Reversion,5555.961410257783,5311.957546315709,305.9026132589177,169.24,177.1,-363.9222713675169,194.01,185.35
ECL-CPAY,2024-10-07,2024-12-10,64,Z-Score Reversion,-4223.7945823099435,-4434.083358120905,204.76475758642005,249.05,247.05,-157.48410681821215,333.02,357.24
ABBV-MPWR,2024-11-04,2024-12-16,42,Z-Score Reversion,-705.5231893872697,-885.5684374964551,-260.49252411660126,200.47,171.63,59.57323367096812,766.57,628.62
ABBV-RJF,2024-11-12,2024-12-18,36,Z-Score Reversion,4762.477246446921,4526.275173329069,297.5726942650463,171.09,173.02,-425.1941062452147,162.27,152.42
APD-NEE,2024-10-07,2024-12-18,72,Z-Score Reversion,-3348.2197347077235,-3542.8153008520344,-163.09016238734182,312.69,295.31,632.8277131013009,80.29,70.52
COIN-SYF,2024-11-19,2024-12-18,29,Z-Score Reversion,6970.057369923619,6793.628694318614,-156.75629124712242,324.57,279.86,641.9401955871361,63.65,63.59
DASH-ADSK,2024-11-27,2024-12-18,21,Z-Score Reversion,4090.4342726292307,3909.338151954036,-290.0392635414874,178.44,165.39,139.46204722046565,290.64,292.83
AWK-PAYC,2024-11-04,2024-12-27,53,Z-Score Reversion,-2692.477891034956,-2896.368097864725,385.96405254733963,135.3,125.29,-247.05111286158473,211.46,206.72
